Number,company,brand,gov
1,Active Foodمعمل,السراج - bafr,اربيل
2,MAG WASH  لانتاج المنظفات السائلة,1-	MAG WASH/ غسول الايدي لون بنفسجي بعطر اللافندر 2-	MAG(ORAGE AROMA) /غسول الايدي لون برتقالي 3-	AROMA MAG(ROSE FLOWER)/ غسول الايدي لون وردي. 4-	MAG WASH/ منظف الخزف الصيني النوع السائل 5-	المنظف السائل للاغراض العامة اللون الاصفر 6-	MAG WASH/ المنظف السائل للاغراض العامة بالبرتقال 7-	MAG/ المنظف السائل للاغراض العامة لون اخضر بالتفاح. منظف الزجاج سائل ازرق,اربيل
3,Strong metal,Strong metal,اربيل
4,WHITE PANEL  بانيلى سبى,White Panel,اربيل
5,london glass معمل,TLG,اربيل
6,ئاسوفيد,ئاسوفيد,سليمانية
7,ئيك لانتاج مكعبات السكر وتعبئة كافة انواع المواد الغذائية الجافة,حمص و فاصوليا بيضاء علامة EIK,دهوك
8,احمد عامر نعمة,احمد عامر نعمة,اربيل
9,اختبار,اختبار,اربيل
10,اربيل فيد,اربيل فيد / فيدكو / علف طيب / المشرق  فيد / كولينان فيد,اربيل
11,ارض الاماراتية,"JOKER  , HOM , W8 ,112 , 010",اربيل
12,ازادي,ازادي,سليمانية
13,اسيا الالمنيوم,اسيا الالمنيوم,سليمانية
14,البيضة الفضية,البيضة الفضية,سليمانية
15,الريباس,المذاق,أربيل
16,السفير,السفير,اربيل
17,الشركة العراقية الاردنية للتنمية الصناعية,BEREKET PLASTIC / معمل بلاستيك البركة / البركة / BEREKET YOGURT / دريا /  بيري فارم,دهوك
18,الصوفي لأنتاج المعكرونة والشعرية,لمسا / النعمة/ زاد النعمة/ باف/ الفراش/ الطازج الذهبي/ بالهناء/ بالعافية / بالصحة,اربيل
19,العمادي الأمين,العمادي الأمين,دهوك
20,العمادي الامين,العمادي الامين,دهوك
21,القرية,القرية,نينوى
22,المصدر الكهربائي ELECTRIC SOURCE لتصنيع وتجميع الاجهزة الكهربائية بجميع انواعها,E S,اربيل
23,المنزل,المنزل,دهوك
24,المياس,المياس,أربيل
25,امهات ازاد الذهبي,امهات ازاد الذهبي,اربيل
26,امهات يارا,امهات يارا,اربيل
27,اواميديكا,شركة اواميديكا المحدودة,اربيل
28,ايفان,ايفان للعلف الجاهز,اربيل
29,بابه شيخ,بابا شيخ-الوافر,اربيل
30,بايك,Bike,اربيل
31,برجم,برجم,دهوك
32,بركة الشيخان لانتاج الطحين,,نينوى
33,بروفيد اربيل,بروفيد اربيل,اربيل
34,بريميكس,بريميكس Prime Mix,اربيل
35,بنار,بنار,سليمانية
36,بيرسن,بيرسن,كركوك
37,بيره مكرون,اكلنا ، باب المراد ، ثمارنا ، بير مكرون,سليمانية
38,تجربة2222,تجربة,اربيل
39,تجريبي,تجريبي,سليمانية
40,تجريبي,تجريبي,بغداد
41,تيان لانتاج وتعبئة المياه المعدنية,"تيان , دلوب",دهوك
42,تيست,تيست,بغداد
43,تيست,تيست,بغداد
44,تيست 2,تيست ,بغداد
45,جبل الخيرات,جبل الخيرات,اربيل
46,جيهان,جيهان,اربيل
47,حمزة,بيض عيون,دهوك
48,دلين,دلين,اربيل
49,ده ستهات,مالات,سليمانية
50,دهوك,هيفن ابيض - بازي احمر,دهوك
